Timestamp,Full Name,Email Address,Stellar Testnet Wallet Address (G...),Stellar Transaction Hash (Tx Hash),Platform Role,Product Rating,Feedback & Suggestions,Any Bugs or Issues Encountered?
2026-06-29 03:45:22,"Anirban Dutta",anirbandutta@gmail.com,GABOZJAGW6W6KATQNFNSUGLL7VTZYWHVOWMZOAEGRHNRT32WPFJ36HVY,cb558f8e1f726d91e948cbfd77e0fbf2ac320117ee82adc3b502190b82a27646,Client,4,"App works smoothly! Freighter wallet connected instantly and the contract creation was very fast.","Freighter network switch was initially set to Mainnet instead of Testnet."
2026-06-30 04:46:22,"Subhashis Roy",subhashisroy@yahoo.com,GCWEERT4DN6UZIJZVVFKFIE7LKM66QGMDFVM24EAMG52EADJB3NOKZAT,240af7ccf2fa17e62b9b9126913ba4f19a9da096c5a71e48b6f7a58c6f2d2f0f,Freelancer,5,"Great escrow application. Freighter wallet connection was a bit confusing initially, but the onboarding guide helped a lot.",""
2026-06-30 05:47:22,"Debalina Sen",debalinasen@outlook.com,GAROEYXEPBGDROSWIQWSFMCTCCQVCYTIHGPJA5CX3SDTT23ZVFFEQU6O,fbe7b1e2613f683ce5520358dabca409f2aec96efd1b7c53e7530b9b8a476b17,Client,4,"Simple and clean interface. Love the glassmorphic theme. It would be nice to have support for USDC and EURC stablecoins.",""
2026-06-30 06:48:22,"Joydeep Banerjee",joydeepbanerjee@hotmail.com,GDSCFJKJSLE24542XUGTSCJYWQX7U25PKW3DCSGPY3GNALCIBRFUL5B3,df1bc5cacedfd6c2cb75039b9430f86819e29dd2dad3e259ba0e31b07ab6a444,Freelancer,5,"Very secure and transparent. I like that we can verify transaction history on-chain. Please add arbitrator options for disputes.",""
2026-06-30 07:49:22,"Priyanka Das",priyankadas@gmail.com,GCV7IKRKVIGKB32DXHHTJM5MJK2KFNPCMKQBGK5IBMPBGKJMVZP3FZCN,ad07aac27d26089b71ee6166df23772472978a0694229c848bda628115132291,Client,4,"Fast transaction times and low fees compared to Ethereum escrows. Sentry error reporting gives me confidence in using this.",""
2026-06-30 08:50:22,"Sourav Ganguly",souravganguly@yahoo.com,GA4AK4GVUDC2NROPAQ3ZXEPYYOIURWG6DICGWVQZQEXUJ2OS7VXMEI2P,843eba28e0ec6c2cc7c01ea059be1d2808348fc69bd90b2a4577b65d6fce2df2,Freelancer,5,"Tested creating and releasing escrows. The flow is perfect. Direct deep-linking configuration works like a charm.",""
2026-06-30 09:51:22,"Riya Chakraborty",riyachakraborty@outlook.com,GA4BK5JDVEWHK5T2RWU47DNFD7RSZKYLPDATK46MQMFEMKPM6ZHNN744,b2a36e1d7483d1e193474a00d35252febab07522ff7394a1995ded344b6b870b,Client,4,"Really impressed by the UI responsiveness on mobile devices. Wallet kit makes connecting Freighter very seamless.",""
2026-06-30 10:52:22,"Mithun Chakraborty",mithunchakraborty@hotmail.com,GBC6QWVKDR6WJ3OE5QIDW5B6DZKA56MNBKHWYZL3USZ2PGZ3LNX43IET,727f43a6002d33d06df48db86dc12c8c22f207f2a99e2e0c0c77886d23c7934e,Freelancer,5,"The contract re-sync works nicely. Cleared my localStorage cache and was able to pull escrow details straight from the ledger.","Freighter network switch was initially set to Mainnet instead of Testnet."
2026-06-30 03:53:22,"Parambrata Chatterjee",parambratachatterjee@gmail.com,GAKHF6TEGI4SMV7YACZDXHNHOID2RTXY3QI7NL7N2NIN3TEWZUH4K7B7,6228e1c437f082011fd3f75d0ba2bb202085cac6575cef037fbffcf051f1c5a3,Client,4,"Awesome project for freelancers! Direct payment protection solves a major trust problem. Look forward to mainnet.",""
2026-06-30 04:54:22,"Shreya Ghoshal",shreyaghoshal@yahoo.com,GCYV4WNFI7HIC7QSVUDHK6LC62C4OLVFX3QNDNKKGLEYCJ2D53C2VY33,7b36d183dffa28fd9432e803940d18f0801a8a85dcf9a36154992abaea3dd403,Freelancer,5,"User onboarding is highly optimized. I suggest implementing email notifications when a client deposits funds.",""
